number,name,region,weight,height,type1,type2,height,Evolution,Evolution2,Evolution3,Evolution4,Evolution5,Evolution6,Evolution7,Evolution8,EV Method,EV Method2,EV Method3,EV Method4,EV Method5,EV Method6,EV Method7,EV Method8,EV Stage,"R,B,Y","G,S,C","R,S,E","FR,LG","D,P,P","HG,SS","B,W,B2,W2","X,Y","OR,AS","S,M,US,UM","LGP,LGE","S,S",Entry Red,Entry Blue,Entry Yellow,Entry Gold,Entry Silver,Entry Crystal,Entry Ruby,Entry Saphire,Entry Emerald,Entry Fire Red,Entry Leaf Green,Entry Diamond,Entry Pearl,Entry Platinum,Entry Heart Gold,Entry Soul Silver,Entry Black,Entry White,Entry Black 2,Entry White 2,Entry X,Entry Y,Entry Omega Ruby,Entry Alpha Saphire,Entry Sun,Entry Moon,Entry Ultra Sun,Entry Ultra Moon,Entry Let's Go Pikachu,Entry Let's Go Eevee,Entry Sword,Entry Shield
239,elekid,Johto,51.8,"2'00""",electric,,2,electabuzz,,,,,,,,30,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,magby,Johto,47.2,"2'04""",fire,,2.04,magmar,,,,,,,,30,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,miltank,Johto,166.4,"3'11""",normal,,3.11,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,blissey,Johto,103.2,"4'11""",normal,,4.11,,,,,,,,,,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,raikou,Johto,392.4,"6'03""",electric,,6.03,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,entei,Johto,436.5,"6'11""",fire,,6.11,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,suicune,Johto,412.3,"6'07""",water,,6.07,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,larvitar,Johto,158.7,"2'00""",rock,ground,2,pupitar,,,,,,,,30,,,,,,,,1,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,pupitar,Johto,335.1,"3'11""",rock,ground,3.11,tyranitar,,,,,,,,55,,,,,,,,2,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,tyranitar,Johto,445.3,"6'07""",rock,dark,6.07,,,,,,,,,,,,,,,,,3,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,lugia,Johto,476.2,"17'01""",psychic,flying,17.01,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Ho-Oh,Johto,438.7,"12'06""",fire,flying,12.06,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,celebi,Johto,11,"2'00""",psychic,grass,2,,,,,,,,,,,,,,,,,0,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,treecko,Hoenn,11,"1'08""",grass,,1.08,grovyle,,,,,,,,16,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,grovyle,Hoenn,47.6,"2'11""",grass,,2.11,sceptile,,,,,,,,36,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,sceptile,Hoenn,115.1,"5'07""",grass,,5.07,,,,,,,,,,,,,,,,,3,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,torchic,Hoenn,5.5,"1'04""",fire,,1.04,combusken,,,,,,,,16,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,combusken,Hoenn,43,"2'11""",fire,fighting,2.11,blaziken,,,,,,,,36,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,blaziken,Hoenn,114.6,"6'03""",fire,fighting,6.03,,,,,,,,,,,,,,,,,3,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,mudkip,Hoenn,16.8,"1'04""",water,,1.04,marshtomp,,,,,,,,16,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,marshtomp,Hoenn,61.7,"2'04""",water,ground,2.04,swampert,,,,,,,,36,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,swampert,Hoenn,180.6,"4'11""",water,ground,4.11,,,,,,,,,,,,,,,,,3,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,poochyena,Hoenn,30,"1'08""",dark,,1.08,mightyena,,,,,,,,18,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,mightyena,Hoenn,81.6,"3'03""",dark,,3.03,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,zigzagoon,Hoenn,38.6,"1'04""",normal,,1.04,linoone,,,,,,,,20,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263.1,zigzagoon,Galar,65.9,"2'11""",dark,normal,2.11,linoone,,,,,,,,20,,,,,,,,1,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,linoone,Hoenn,71.7,"1'08""",normal,,1.08,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264.1,linoone,Galar,71.7,"1'08""",dark,normal,1.08,obstagoon,,,,,,,,35 at night,,,,,,,,2,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,wurmple,Hoenn,7.9,"1'00""",bug,,1,silcoon,cascoon,,,,,,,7 random,7 random,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,silcoon,Hoenn,22,"2'00""",bug,,2,beautifly,,,,,,,,10,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,beautifly,Hoenn,62.6,"3'03""",bug,flying,3.03,,,,,,,,,,,,,,,,,3,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,cascoon,Hoenn,25.4,"2'04""",bug,,2.04,dustox,,,,,,,,10,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,dustox,Hoenn,69.7,"3'11""",bug,poison,3.11,,,,,,,,,,,,,,,,,3,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,lotad,Hoenn,5.7,"1'08""",water,grass,1.08,lombre,,,,,,,,14,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,lombre,Hoenn,71.6,"3'11""",water,grass,3.11,ludicolo,,,,,,,,water stone,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,ludicolo,Hoenn,121.3,"4'11""",water,grass,4.11,,,,,,,,,,,,,,,,,3,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,seedot,Hoenn,8.8,"1'08""",grass,,1.08,nuzleaf,,,,,,,,14,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,nuzleaf,Hoenn,61.7,"3'03""",grass,dark,3.03,shiftry,,,,,,,,leaf stone,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,shiftry,Hoenn,131.4,"4'03""",grass,dark,4.03,,,,,,,,,,,,,,,,,3,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,taillow,Hoenn,5.1,1'00',normal,flying,1,swellow,,,,,,,,22,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,swellow,Hoenn,43.7,"2'04""",normal,flying,2.04,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,wingull,Hoenn,20.9,"2'00""",water,flying,2,pelipper,,,,,,,,25,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,pelipper,Hoenn,61.7,"3'11""",water,flying,3.11,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,ralts,Hoenn,14.6,1'04,psychic,fairy,1.04,kirlia,,,,,,,,20,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,kirlia,Hoenn,44.5,"2'07""",psychic,fairy,2.07,gardevoir,gallade,,,,,,,30,dawn stone on male,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,gardevoir,Hoenn,106.7,"5'03""",psychic,fairy,5.03,,,,,,,,,,,,,,,,,3,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,surskit,Hoenn,3.7,"1'08""",bug,water,1.08,masquerain,,,,,,,,22,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,masquerain,Hoenn,7.9,"2'07""",bug,flying,2.07,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,shroomish,Hoenn,9.9,"1'04""",grass,,1.04,breloom,,,,,,,,23,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,breloom,Hoenn,86.4,"3'11""",grass,fighting,3.11,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,slakoth,Hoenn,52.9,"2'07""",normal,,2.07,vigoroth,,,,,,,,18,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,vigoroth,Hoenn,102.5,"4'07""",normal,,4.07,slaking,,,,,,,,36,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,slaking,Hoenn,287.7,"6'07""",normal,,6.07,,,,,,,,,,,,,,,,,3,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,nincada,Hoenn,12.1,"1'08""",bug,ground,1.08,ninjask,shedinja,,,,,,,20,20 with a free spot on your team,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,ninjask,Hoenn,26.5,"2'07""",bug,flying,2.07,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,shedinja,Hoenn,2.6,"2'07""",bug,ghost,2.07,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,whismur,Hoenn,35.9,"2'00""",normal,,2,loudred,,,,,,,,20,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,loudred,Hoenn,89.3,"3'03""",normal,,3.03,exploud,,,,,,,,40,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,exploud,Hoenn,185.2,"4'11""",normal,,4.11,,,,,,,,,,,,,,,,,3,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,makuhita,Hoenn,190.5,"3'03""",fighting,,3.03,hariyama,,,,,,,,24,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,hariyama,Hoenn,559.5,"7'07""",fighting,,7.07,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,azuril,Hoenn,4.4,"0'08""",normal,fairy,0.08,marill,,,,,,,,lvl+ with friendship,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,nosepass,Hoenn,213.8,"3'03""",rock,,3.03,probopass,,,,,,,,lvl+ in electric area,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,skitty,Hoenn,24.3,"2'00""",normal,,2,delcatty,,,,,,,,moon stone,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,delcatty,Hoenn,71.9,"3'07""",normal,,3.07,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,sableye,Hoenn,24.3,"1'08""",dark,ghost,1.08,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,mawile,Hoenn,25.4,"2'00""",steel,fairy,2,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,aron,Hoenn,132.3,"1'04""",steel,rock,1.04,lairon,,,,,,,,32,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,lairon,Hoenn,264.6,"2'11""",steel,rock,2.11,aggron,,,,,,,,42,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,aggron,Hoenn,793.7,"6'11""",steel,rock,6.11,,,,,,,,,,,,,,,,,3,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,meditite,Hoenn,24.7,"2'00""",fighting,psychic,2,medicham,,,,,,,,37,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,medicham,Hoenn,69.4,"4'03""",fighting,psychic,4.03,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,electrike,Hoenn,33.5,"2'00""",electric,,2,manetric,,,,,,,,26,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,manetric,Hoenn,88.6,"4'11""",electric,,4.11,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,plusle,Hoenn,9.3,"1'04""",electric,,1.04,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,minun,Hoenn,9.3,"1'04""",electric,,1.04,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,volbeat,Hoenn,39,"2'04""",bug,,2.04,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,illumise,Hoenn,39,"2'00""",bug,,2,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,roselia,Hoenn,4.4,"1'00""",grass,poison,1,roserade,,,,,,,,shiny stone,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,gulpin,Hoenn,22.7,"1'04""",poison,,1.04,swalot,,,,,,,,26,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,swalot,Hoenn,176.4,"5'07""",poison,,5.07,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,carvanha,Hoenn,45.9,"2'07""",water,dark,2.07,sharpedo,,,,,,,,30,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,sharpedo,Hoenn,195.8,"5'11""",water,dark,5.11,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,wailmer,Hoenn,286.6,"6'07""",water,,6.07,wailord,,,,,,,,40,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,wailord,Hoenn,877.4,"47'07""",water,,47.07,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,numel,Hoenn,52.9,"2'04""",fire,ground,2.04,camerupt,,,,,,,,33,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,camerupt,Hoenn,485,"6'03""",fire,ground,6.03,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,torkoal,Hoenn,177.2,"1'08""",fire,,1.08,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,spoink,Hoenn,67.5,"2'04""",psychic,,2.04,grumpig,,,,,,,,32,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,grumpig,Hoenn,157.6,"2'11""",psychic,,2.11,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,spinda,Hoenn,11,"3'07""",normal,,3.07,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,trapinch,Hoenn,33.1,"2'04""",ground,,2.04,vibrava,,,,,,,,35,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,vibrava,Hoenn,33.7,"3'07""",ground,dragon,3.07,flygon,,,,,,,,45,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,flygon,Hoenn,180.8,"6'07""",ground,dragon,6.07,,,,,,,,,,,,,,,,,3,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,cacnea,Hoenn,113.1,"1'04""",grass,,1.04,cacturne,,,,,,,,32,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,cacturne,Hoenn,170.6,"4'03""",grass,dark,4.03,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,swablu,Hoenn,2.6,"1'04""",normal,flying,1.04,altaria,,,,,,,,35,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,altaria,Hoenn,45.4,"3'07""",dragon,flying,3.07,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,zangoose,Hoenn,88.8,"4'03""",normal,,4.03,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,seviper,Hoenn,115.7,"8'10""",poison,,8.1,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,lunatone,Hoenn,370.4,"3'03""",rock,psychic,3.03,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,solrock,Hoenn,339.5,"3'11""",rock,psychic,3.11,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,barboach,Hoenn,4.2,"1'04""",water,ground,1.04,whiscash,,,,,,,,30,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,whiscash,Hoenn,52,"2'11""",water,ground,2.11,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,corphish,Hoenn,25.4,"2'00""",water,,2,crawdaunt,,,,,,,,30,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,crawdaunt,Hoenn,72.3,"3'07""",water,dark,3.07,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,baltoy,Hoenn,47.4,"1'08""",ground,psychic,1.08,claydol,,,,,,,,36,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,claydol,Hoenn,238.1,"4'11""",ground,psychic,4.11,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,lileep,Hoenn,52.5,"3'03""",rock,grass,3.03,cradily,,,,,,,,40,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,cradily,Hoenn,133.2,"4'11""",rock,grass,4.11,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,anorith,Hoenn,27.6,"2'04""",rock,bug,2.04,armaldo,,,,,,,,40,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,armaldo,Hoenn,150.4,"4'11""",rock,bug,4.11,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,feebas,Hoenn,16.3,"2'00""",water,,2,milotic,,,,,,,,trade with prism scale,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,milotic,Hoenn,357.1,"20'04""",water,,20.04,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,castform,Hoenn,1.8,"1'00""",normal,,1,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,kecleon,Hoenn,48.5,"3'03""",normal,,3.03,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,shuppet,Hoenn,5.1,"2'00""",ghost,,2,banette,,,,,,,,37,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,banette,Hoenn,27.6,"3'07""",ghost,,3.07,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,duskull,Hoenn,33.1,"2'07""",ghost,,2.07,dusclops,,,,,,,,37,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,dusclops,Hoenn,67.5,"5'03""",ghost,,5.03,dusknoir,,,,,,,,trade with reaper cloth,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,tropius,Hoenn,220.5,"6'07""",grass,flying,6.07,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,chimecho,Hoenn,2.2,"2'00""",psychic,,2,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,absol,Hoenn,103.6,"3'11""",dark,,3.11,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,wynaut,Hoenn,30.9,"2'00""",psychic,,2,wobbuffet,,,,,,,,15,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,snorunt,Hoenn,37,"2'04""",ice,,2.04,glalie,froslass,,,,,,,42,dawn stone on female,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,glalie,Hoenn,565.5,"4'11""",ice,,4.11,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,spheal,Hoenn,87.1,"2'07""",ice,water,2.07,sealeo,,,,,,,,32,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,sealeo,Hoenn,193.1,"3'07""",ice,water,3.07,walrein,,,,,,,,44,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,walrein,Hoenn,332,"4'07""",ice,water,4.07,,,,,,,,,,,,,,,,,3,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,clamperl,Hoenn,115.7,"1'04""",water,,1.04,huntail,gorebyss,,,,,,,trade with deep sea tooth,trade with deep sea scale,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,huntail,Hoenn,59.5,"5'07""",water,,5.07,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,gorebyss,Hoenn,49.8,"5'11""",water,,5.11,,,,,,,,,,,,,,,,,2,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,relicanth,Hoenn,51.6,"3'03""",water,rock,3.03,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,luvdisc,Hoenn,19.2,"2'00""",water,,2,,,,,,,,,,,,,,,,,0,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,bagon,Hoenn,92.8,"2'00""",dragon,,2,shelgon,,,,,,,,30,,,,,,,,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
